unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1676106000,2023-02-11 09:00:00,BTC/USDT,21676,21676,21676,21676,0.00000000,0.0
1676102400,2023-02-11 08:00:00,BTC/USDT,21676,21676,21676,21676,0.00000000,0.0
1676098800,2023-02-11 07:00:00,BTC/USDT,21670,21676,21670,21676,0.03000000,650.28
1676095200,2023-02-11 06:00:00,BTC/USDT,21676,21676,21676,21676,0.03377900,732.193604
1676091600,2023-02-11 05:00:00,BTC/USDT,21717,21717,21717,21717,0.00000000,0.0
1676088000,2023-02-11 04:00:00,BTC/USDT,21717,21717,21717,21717,0.00000000,0.0
1676084400,2023-02-11 03:00:00,BTC/USDT,21717,21717,21717,21717,0.02686300,583.383771
1676080800,2023-02-11 02:00:00,BTC/USDT,21636,21636,21636,21636,0.00000000,0.0
1676077200,2023-02-11 01:00:00,BTC/USDT,21659,21664,21636,21636,0.85053779,18402.23562444
1676073600,2023-02-11 00:00:00,BTC/USDT,21634,21634,21632,21632,0.00138495,29.9592384
1676070000,2023-02-10 23:00:00,BTC/USDT,21587,21633,21587,21633,1.76887771,38266.13150043
1676066400,2023-02-10 22:00:00,BTC/USDT,21533,21533,21533,21533,0.00000000,0.0
1676062800,2023-02-10 21:00:00,BTC/USDT,21671,21671,21449,21533,1.80012245,38762.03671585
1676059200,2023-02-10 20:00:00,BTC/USDT,21749,21749,21738,21738,0.02542678,552.72734364
1676055600,2023-02-10 19:00:00,BTC/USDT,21708,21770,21708,21770,0.33755251,7348.5181427
1676052000,2023-02-10 18:00:00,BTC/USDT,21704,21732,21704,21732,0.01349724,293.32201968000004
1676048400,2023-02-10 17:00:00,BTC/USDT,21637,21670,21637,21655,0.12652147,2739.82243285
1676044800,2023-02-10 16:00:00,BTC/USDT,21647,21703,21603,21620,3.37372744,72939.9872528
1676041200,2023-02-10 15:00:00,BTC/USDT,21819,21905,21546,21613,2.26559340,48966.27015420001
1676037600,2023-02-10 14:00:00,BTC/USDT,21793,21884,21793,21846,0.27173864,5936.402329439999
1676034000,2023-02-10 13:00:00,BTC/USDT,21827,21827,21767,21793,2.42202823,52783.26121639
1676030400,2023-02-10 12:00:00,BTC/USDT,21739,21742,21739,21742,0.33000000,7174.860000000001
1676026800,2023-02-10 11:00:00,BTC/USDT,21793,21796,21779,21779,0.63950000,13927.670499999998
1676023200,2023-02-10 10:00:00,BTC/USDT,21835,21835,21835,21835,0.04556904,994.9999884
1676019600,2023-02-10 09:00:00,BTC/USDT,21899,21899,21849,21849,0.95849205,20942.092800450002
1676016000,2023-02-10 08:00:00,BTC/USDT,21881,21881,21881,21881,0.00000000,0.0
1676012400,2023-02-10 07:00:00,BTC/USDT,21879,21881,21874,21881,0.33241046,7273.47327526
1676008800,2023-02-10 06:00:00,BTC/USDT,21805,21805,21805,21805,0.00000000,0.0
1676005200,2023-02-10 05:00:00,BTC/USDT,21769,21820,21646,21805,4.35084845,94870.25045225
1676001600,2023-02-10 04:00:00,BTC/USDT,21807,21833,21805,21827,1.20699722,26345.128320940003
1675998000,2023-02-10 03:00:00,BTC/USDT,21889,21889,21883,21883,0.08590000,1879.7497
1675994400,2023-02-10 02:00:00,BTC/USDT,21812,21812,21812,21812,0.00000000,0.0
1675990800,2023-02-10 01:00:00,BTC/USDT,21812,21812,21812,21812,0.00000000,0.0
1675987200,2023-02-10 00:00:00,BTC/USDT,21812,21812,21812,21812,0.00000000,0.0
1675983600,2023-02-09 23:00:00,BTC/USDT,21849,21853,21808,21812,0.32272651,7039.310636120001
1675980000,2023-02-09 22:00:00,BTC/USDT,21828,21949,21813,21893,1.74500963,38203.49582959
1675976400,2023-02-09 21:00:00,BTC/USDT,21973,21973,21719,21840,5.13045886,112049.2215024
1675972800,2023-02-09 20:00:00,BTC/USDT,21971,22070,21847,22047,2.14411281,47271.255122070004
1675969200,2023-02-09 19:00:00,BTC/USDT,22400,22449,21902,21902,7.89766958,172974.75914116
1675965600,2023-02-09 18:00:00,BTC/USDT,22570,22570,22487,22487,0.03559751,800.48120737
1675962000,2023-02-09 17:00:00,BTC/USDT,22511,22587,22495,22495,1.84263805,41450.14293475
1675958400,2023-02-09 16:00:00,BTC/USDT,22611,22614,22466,22508,3.29160556,74087.45794447999
1675954800,2023-02-09 15:00:00,BTC/USDT,22683,22685,22570,22606,4.65626342,105259.49087252001
1675951200,2023-02-09 14:00:00,BTC/USDT,22749,22785,22685,22685,4.07081380,92346.41105299999
1675947600,2023-02-09 13:00:00,BTC/USDT,22715,22767,22697,22744,1.94328049,44197.97146456
1675944000,2023-02-09 12:00:00,BTC/USDT,22677,22774,22577,22708,3.50618252,79618.39266416
